Keywords,id,User Name,Screen Name,Tweet Created at,Tweet Text,Tweet Media,Hashtags,Location,Likes,Retweets
particlephysics,1327422732724826112,Jamie Zvirzdin,jamiezvirzdin,2020-11-14 01:26:56,"Night shift at the #TelescopeArray to track ultrahigh-energy cosmic rays. I love this job.
#womeninSTEM @UUtah 
#particlephysics https://t.co/NFnGyke0wt",http://pbs.twimg.com/media/Emvx3JHXYAAcBAg.jpg,TelescopeArray womeninSTEM particlephysics ,"Maryland, USA",2,3
particlephysics,1327297704632995843,Berkeley Lab,BerkeleyLab,2020-11-13 17:10:07,"Know when to unfold ’em: Study applies error-reducing methods from #particlephysics to #quantumcomputing. 

Details: https://t.co/uGSK8GlQ6L

@LBNLphysics @LBNLcs @BerkeleyLabPSA @BerkeleyPhysics @OLCFGOV @ORNL @Qiskit @BerkeleyPhysics https://t.co/HCjjuufYO6",http://pbs.twimg.com/media/EmuCOkhXIAAjb-_.jpg,particlephysics quantumcomputing ,"Berkeley, CA",11,5
particlephysics,1326569143458557952,Russell Manthy,russellmanthy,2020-11-11 16:55:04,CERN announces two new artists in residence https://t.co/A4lsATvo5w @CERN #art #physics #particlephysics #art https://t.co/LzFL8HzPaX,http://pbs.twimg.com/media/EmjrmyRXEAIq-cb.jpg,art physics particlephysics art ,"New York, NY",1,0
particlephysics,1326544312507670535,Jason Whirlwind,JasonWhirlwind,2020-11-11 15:16:24,"@memcculloch @DylanJDance @t_vv_itter

I decided to use a Go board and pieces to create an #abacus like tool to explain my #AdvancedPixelationTheory and how #QuantumChromodynamics can explain  fractional charges of quarks.

#QuantumPhysics  #ParticlePhysics #physics https://t.co/CD1ZvivqdA",http://pbs.twimg.com/media/EmjUpFEVgAM0cfN.jpg,abacus AdvancedPixelationTheory QuantumChromodynamics QuantumPhysics ParticlePhysics physics ,,0,0
particlephysics,1326526577618903040,Russell Manthy,russellmanthy,2020-11-11 14:05:56,Nearly 75 years after the puzzling first detection of the kaon scientists are still looking to the particle for hints of physics beyond their current understanding https://t.co/3kQ0QwVfIg @symmetrymag #physics #particlephysics #kaons https://t.co/x8GXRCjBF4,http://pbs.twimg.com/media/EmjE5HuW4AESHlD.jpg,physics particlephysics kaons ,"New York, NY",0,0
particlephysics,1326443820876173313,Arts at CERN,ArtsAtCERN,2020-11-11 08:37:05,"🔵 Xavier Luri (@xavier_luri) is the Director of @ICC_UB.  His career has developed in the framework of space missions, particularly the Gaia Mission of the @esa.

ℹ️ Xavier will introduce @ICC_UB's interdisciplinary research in #cosmology, #astrophysics and #particlephysics. https://t.co/nhPQswEfG2",http://pbs.twimg.com/media/Eme5RGYWMAE0waG.jpg,cosmology astrophysics particlephysics ,"CERN. Geneva, Switzerland.",15,1
particlephysics,1326443818493898755,Arts at CERN,ArtsAtCERN,2020-11-11 08:37:05,"🔵Helga Timko is an accelerator physicist and an art enthusiast. She has extensively worked with artists at @CERN and was part of the jury of Collide 2019.

ℹ️During the Info Day, Helga will explain CERN's research in #particlephysics. https://t.co/7WImvio9bq",http://pbs.twimg.com/media/Eme7bDQXcAEM8Hw.jpg,particlephysics ,"CERN. Geneva, Switzerland.",8,1
particlephysics,1326298702487687168,Berkeley Lab CS,LBNLcs,2020-11-10 23:00:26,"Know when to unfold ’em: Study applies error-reducing methods from #particlephysics to #quantumcomputing. 

Details: https://t.co/7JxvwfanKp

@LBNLphysics @LBNLcs @BerkeleyLabPSA @BerkeleyPhysics @OLCFGOV @ORNL @Qiskit @BerkeleyPhysics @BerkeleyLab https://t.co/cKGuBWTzJl",http://pbs.twimg.com/media/EmIADZQXUAYcs9w.jpg,particlephysics quantumcomputing ,"Berkeley, Ca",2,3
particlephysics,1325932183165562883,Berkeley Lab,BerkeleyLab,2020-11-09 22:44:01,"Know when to unfold ’em: Study applies error-reducing methods from #particlephysics to #quantumcomputing. 

Details: https://t.co/uGSK8GlQ6L

@LBNLphysics @LBNLcs @BerkeleyLabPSA @BerkeleyPhysics @OLCFGOV @ORNL @Qiskit @BerkeleyPhysics https://t.co/pCPtmWZpkq",http://pbs.twimg.com/media/EmaoSx6XcAwy0Mh.jpg,particlephysics quantumcomputing ,"Berkeley, CA",16,4
particlephysics,1325714792972214278,ESCAPE,ESCAPE_EU,2020-11-09 08:20:11,"Interested in #ESCAPE mission to foster #Astronomy #Particlephysics #Openscience? Subscribe to our Newsletter to be up-to-date with our events, news, success stories and insights: https://t.co/LGxYwjKxQP https://t.co/jShbQNrnZS",http://pbs.twimg.com/media/EmXilCcXIAAav0R.png,ESCAPE Astronomy Particlephysics Openscience ,Europe,0,2
particlephysics,1325076808266620928,Russell Manthy,russellmanthy,2020-11-07 14:05:04,CERN uses the Higgs boson as a tool to search for dark matter https://t.co/FzayGZRUVz @CERN #Higgs #particlephysics #darkmatter #cosmology https://t.co/NNvtjxL6U9,http://pbs.twimg.com/media/EmOeVcAW4AIGSX3.jpg,Higgs particlephysics darkmatter cosmology ,"New York, NY",0,0
particlephysics,1325013454617534464,𝘾𝙤𝙧𝙧𝙖𝙙𝙤 𝙍𝙪𝙨𝙘𝙞𝙘𝙖 🌀,Corrado_Ruscica,2020-11-07 09:53:19,"#Scientists work to shed light on #StandardModel of #particlephysics 

https://t.co/fHkdBp2HCd https://t.co/QqDWDHruMZ",http://pbs.twimg.com/media/EmNktxqXUAAbXf3.jpg,Scientists StandardModel particlephysics ,Italy,0,0
